series_id,reference,percent_change_imputed
CES5051731101,510.1,-0.006581850334870354
CES5552410001,1613.3,-0.0010036391151404533
CES5552420001,1204.3,-0.0023918597651482187
CES5553130001,757.6,-0.058413697390254926
CES5553210001,228.7,-0.20860113398935387
CES6054194001,408.4,-0.10881356415419774
CES6056173001,808.6,-0.12239546592507633
CES6561110001,1130.2,-0.12178297625172274
CES6562131001,141,-0.20976078368866136
CES6562132001,140.9,-0.2090525705300912
CES6562220001,149.1,-0.03637256600491234
CES7071110001,133.2,-0.43909162240215593
CES7071120001,145.3,-0.4454117760037962
CES7071130001,181.1,-0.4892339790050315
CES7071150001,51.5,-0.40077563651335457
CES7071395001,69.8,-0.6091180225294658
CES7072110001,2019.5,-0.423773753488376
CES7072240001,397.6,-0.49210931150868775
CES8081119201,177.1,-0.1741906186711566
CES8081120001,106.1,-0.16422218281246137
CES8081130001,228.6,-0.15644753023310076
CES8081140001,79.9,-0.1845409365798355
CES8081211201,450.7,-0.5419290667692971
CES8081230001,291.1,-0.5263111612050911
CES8081220001,137.5,-0.5198646417334942
CES8081290001,363.7,-0.5368318724681157
CES8081393001,113.6,-0.09938664243525663
CES9091911001,553.4,0.0010716011329399144
CES3231110001,63.7,-0.050562556413537685
CES3231120001,60,-0.050465748459586734
CES3231180001,314.9,-0.0565782709535001
CES3231170001,34.9,-0.06359373317782935
CES3231190001,234.1,-0.05298675088020466
CES3232222001,55.7,-0.01716625881618683
CES3232229001,61.8,-0.02255225522552251
CES3232510001,153.4,-0.03262960411535831
CES3232590001,81.6,-0.04021741759798736
CES3132730001,201.9,-0.14523213680560976
CES3132790001,98.1,-0.14371747411341795
CES3133110001,83.5,-0.09562393859985963
CES3133120001,54.8,-0.09568075926509845
CES3133230001,404.6,-0.07350007230349209
CES3133240001,95.3,-0.07745018639023526
CES3133260001,67.7,-0.08506975361245661
CES3133290001,283.4,-0.07819292873121397
CES3133312001,69.2,-0.08029859483252932
CES3133313001,69.6,-0.0903062355208556
CES3133510001,47,-0.05993214633248278
CES3133530001,145.7,-0.05485321702568802
CES3133590001,149.5,-0.0547659896399616
CES3133610001,243.1,-0.24912792452018817
CES3133620001,168,-0.23696165941274672
CES3133630001,587.7,-0.2446161964700403
CES3133641101,245.1,-0.24213156091067756
CES3133641201,91.2,-0.24282005540272178
CES3133641301,115.7,-0.23999495570446994
CES3132190001,233.6,-0.06966167119284183
CES3133990001,292.2,-0.14576978648258165
CES4142390001,295.2,-0.05472555191245776
CES4142420001,240.1,-0.06005581053757403
CES4142460001,148,-0.06999620699400555
CES4142490001,334.1,-0.06796917996697849
CES4142511001,34,-0.002614379084967422
CES4142512001,499.1,-0.05615663750306099
CES4244410001,1150.7,-0.02530309223510452
CES4245111001,276.3,-0.37285858036489317
CES4245112001,125.5,-0.3442722380757074
CES4348540001,212.2,-0.36791900299740243
CES4348550001,108.9,-0.3646202282565919
CES4348590001,117.7,-0.3773644933373056
CES5051110001,283.7,-0.029257492595525902
CES5552212001,94.5,-0.0020823735045534253
CES5552219001,298.4,-0.0042516147488615985
CES5553110001,622,-0.06190500689021594
CES5553120001,371.4,-0.057616462804831015
CES5553220001,135.8,-0.21732238807774384
CES5553230001,36.2,-0.21935251037328718
CES5553240001,180.1,-0.20998233235677688
CES6561120001,52.3,-0.13851447743613554
CES6561130001,1804.3,-0.12948103289971946
CES6561140001,81,-0.12927056175499863
CES6561150001,116.4,-0.1279850838372183
CES6561160001,487,-0.15902440868885925
CES6561170001,161.7,-0.12557831044369971
CES6562210001,4834,-0.024607172929316246
CES6562230001,278.2,-0.02707932754226483
CES7072120001,72.7,-0.40812100329110745
CES7072119901,24,-0.4512434241989478
CES8081110001,967.2,-0.16995216194321883
CES8081211301,120.3,-0.512591309911534
CES8081219001,172.8,-0.5299841703530229
CES8081320001,186.2,-0.08105011953847752
CES8081330001,241.2,-0.08431966511528366
CES8081340001,388.2,-0.09863243921490417
CES8081390001,485.6,-0.08616211404580976
CES1011330001,54.5,-0.0899082568807339
CES1021100001,156.6,-0.030651340996168508
CES1021210001,50.4,-0.13095238095238093
CES1021220001,40.8,0
CES1021230001,97.4,-0.014373716632443578
CES1021300001,314.5,-0.12718600953895076
CES2000000001,7639,-0.13195444429899206
CES3231300001,106.5,-0.19436619718309867
CES3231400001,111.3,-0.20395327942497754
CES3231500001,105,-0.4057142857142857
CES3232300001,417.2,-0.1984659635666347
CES3133410001,169.3,0.007088009450679111
CES3133450001,433.1,-0.015931655506811415
CES3133700001,386.4,-0.1542443064182194
CES4244110001,1309.4,-0.20780510157323973
CES4244120001,165.6,-0.2469806763285024
CES4244130001,588.7,-0.06319007983692893
CES4244200001,470.7,-0.4625026556192904
CES4244700001,947.2,-0.0491976351351352
CES4245220001,1078.5,-0.14622160407974039
CES4245230001,1968.3,0.05019560026418746
CES4348100001,511.2,-0.272300469483568
CES4348200001,159.9,-0.016885553470919468
CES4348300001,64.9,-0.09861325115562414
CES4348400001,1527.3,-0.06004059451319321
CES4348600001,50.5,0
CES4348700001,36.7,-0.6212534059945505
CES4348800001,763.8,-0.09714584969887397
CES9091912001,601.6,-0.0021609042553192293
CES4349200001,847.8,8.256664307619843e-4
CES4349300001,1207.8,-0.05365126676602083
CES5051200001,456.3,-0.4832347140039448
CES5051500001,263.3,-0.04937333839726543
CES5051800001,349.6,-0.02030892448512589
CES5051900001,354.4,0.009875846501128605
CES5552300001,968.8,-0.0037159372419487413
CES6054110001,1162.7,-0.05599036724864548
CES6054120001,1038,-0.06078998073217734
CES6054130001,1539.8,-0.055591635277308704
CES6054140001,145.1,-0.11026878015161956
CES6054150001,2252.7,-0.04052914280640996
CES6054160001,1561.1,-0.04926013708282617
CES6054170001,749.5,-0.024949966644429722
CES6054180001,492.6,-0.0824198132358912
CES6055000001,2447.3,-0.033465451722306194
CES6056130001,3650.2,-0.276286230891458
CES6056140001,869.4,-0.11007591442374043
CES6056150001,222.5,-0.2251685393258427
CES6056160001,970.2,-0.0844155844155845
CES6056200001,467,-0.027837259100642386
CES6562110001,2722.9,-0.09493554665981119
CES6562120001,977,-0.5332650972364381
CES6562140001,980.2,-0.08712507651499701
CES6562160001,1572.4,-0.05768252353090819
CES6562310001,1592.2,-0.030900640623037323
CES6562410001,2699.9,-0.0900774102744547
CES6562420001,186,-0.05161290322580647
CES6562430001,326,-0.2088957055214724
CES6562440001,1038.6,-0.3420951280569998
CES7071200001,175.2,-0.26084474885844744
CES1021000001,659.7,-0.0800363801728059
CES3231100001,1655.4,-0.053280173976078316
CES3000000001,12852,-0.1061313414254591
CES3132100001,410.6,-0.06916707257671706
CES3132700001,425.6,-0.14755639097744366
CES3133100001,372.7,-0.09471424738395495
CES3133200001,1483.9,-0.07736370375362234
CES3133300001,1109.9,-0.07523200288314258
CES3133400001,1098.2,-0.009287925696594423
CES3133500001,404.5,-0.05290482076637815
CES3133600001,1742.9,-0.24350220896207475
CES3133900001,622.9,-0.14946219296837382
CES3232200001,363.6,-0.02310231023102316
CES3232400001,114.3,-0.08136482939632539
CES3232500001,851.1,-0.03748090706144991
CES3232600001,746.2,-0.08804610024122228
CES3133420001,84.6,-0.010638297872340274
CES3133440001,378,-0.0092592592592593
CES3133460001,33.2,-0.003012048192771122
CES4142000001,5934.2,-0.06162582993495325
CES4142300001,3221,-0.056380006209251765
CES4142400001,2180.4,-0.07085855806274077
CES4244600001,1058.3,-0.0950581120665217
CES4200000001,15672,-0.13729581419091375
CES4244100001,2063.7,-0.16969520763676882
CES4244300001,475.3,-0.06332842415316642
CES4244400001,1309.3,-0.030168792484533746
CES4244500001,3090.2,-0.014562164261212818
CES4244800001,1289.1,-0.5888604452718951
CES4245100001,549.8,-0.36158603128410327
CES4245200001,3046.8,-0.019331757909938352
CES4245300001,820.4,-0.33117991223793264
CES4245400001,551.2,-0.06077648766328014
CES4422000001,546.1,-0.005493499359091714
CES5051700001,700.5,-0.008422555317630254
CES5552100001,19.3,0.02072538860103612
CES5552211001,1393.8,-0.005093987659635424
CES5552220001,587.2,-0.0161784741144414
CES5552230001,305.2,-0.020314547837483543
CES5553300001,23.7,-0.025316455696202445
CES6054190001,766.1,-0.10912413523038766
CES6056170001,2178.8,-0.12061685331375072
CES6056110001,530.3,-0.0773147275127285
CES6056120001,164.3,-0.06390748630553866
CES6056190001,342.3,-0.17031843412211511
CES6562130001,987.8,-0.21532698926908278
CES6562150001,289.6,-0.10946132596685099
CES6562190001,325.3,-0.08761143559790963
CES6562320001,653,-0.0405819295558959
CES6562330001,977.9,-0.03435934144595565
CES6562390001,167.9,-0.03573555687909469
CES7071300001,1785.5,-0.5992719126295156
CES7072200001,12303.1,-0.481082003722639
CES8081300001,3025.6,-0.08467741935483863
CES8000000001,5941,-0.21965998990069013
CES8081100001,1378.6,-0.16509502393732767
CES8081200001,1537.2,-0.5346734322144159
CES9000000001,22745,-0.0443174324027259
