state,puma,led_code,total_employed_pre,total_unemployed_post,percent_change_imputed,state_imputation
01,00301,23,1199,-57.581604181178335,0.04802469072658744,0
01,00301,31,237,10.670318028817874,-0.04502243894015981,0
01,00301,32,318,12.645282819000341,-0.03976504031132183,0
01,00301,33,2069,9.929389937484247,-0.004799125151031536,0
01,00301,42,300,-4.703921629848082,0.015679738766160276,0
01,00301,44,3448,-112.64444063355386,0.03266950134383813,0
01,00301,45,2539,-85.5577392421007,0.03369741600712906,0
01,00301,48,640,-5.287780190484268,0.008262156547631669,0
01,00301,49,287,-41.96403436340783,0.1462161476076928,0
01,00301,51,988,50.11418889377911,-0.05072286325281286,0
01,00301,52,436,-2.7278478310925824,0.006256531722689409,0
01,00301,53,375,-0.09989128247508412,2.66376753266891e-4,0
01,00301,54,1776,22.01714652705645,-0.012397041963432685,0
01,00301,56,1737,-112.63833097604457,0.0648464772458518,0
01,00301,61,3976,192.78507680397772,-0.04848719235512518,0
01,00301,62,5719,382.84741156507437,-0.06694306899196964,0
01,00301,71,869,128.54649462069474,-0.1479246198166798,0
01,00301,72,4319,335.8474936466863,-0.0777604754912448,0
01,00301,81,1677,66.23798797083275,-0.039497905766745826,0
01,00301,92,932,4.124252582831406,-0.00442516371548434,0
01,00301,55,0,0,0,0
01,00302,11,71,0,-0,0
01,00302,22,59,-2.1384199951700618,0.03624440669779766,0
01,00302,23,1526,-73.28567804877243,0.04802469072658744,0
01,00302,31,408,11.078208338570676,-0.027152471418065382,0
01,00302,32,357,12.595318881959871,-0.03528100527159628,0
01,00302,33,1545,2.832778005467765,-0.0018335132721474209,0
01,00302,42,257,-1.9806322764625086,0.0077067403753405,0
01,00302,44,2332,-101.68207325365016,0.04360294736434398,0
01,00302,45,1714,-134.50471181103566,0.07847416091659024,0
01,00302,48,300,30.59564161759409,-0.10198547205864697,0
01,00302,49,58,-5.052279813604313,0.08710827264835022,0
01,00302,51,600,96.4588369567708,-0.16076472826128466,0
01,00302,52,779,-6.052137679363147,0.007769111270042551,0
01,00302,53,473,-1.5494667292685644,0.0032758281802718063,0
01,00302,54,1430,13.669615964964466,-0.009559172003471655,0
01,00302,56,1955,-196.02292488738232,0.10026748076080937,0
01,00302,61,2132,121.24153803426927,-0.05686751314928202,0
01,00302,62,3701,215.93151312995965,-0.058344099737897774,0
01,00302,71,742,118.87819024681033,-0.16021319440270934,0
01,00302,72,3397,230.85590492219134,-0.06795875917638838,0
01,00302,81,1587,-2.4178198178597397,0.0015235159532827596,0
01,00302,92,657,8.871784926622995,-0.013503477818299841,0
01,00400,11,1108,-12.47961349677485,0.011263189076511597,0
01,00400,21,5,-0.391768617097763,0.0783537234195526,0
01,00400,22,156,-7.325645405778179,0.046959265421654996,0
01,00400,23,2703,-129.81073903396583,0.04802469072658743,0
01,00400,31,3630,195.98675352395625,-0.05399084119117252,0
01,00400,32,942,15.750821523055528,-0.016720617328084424,0
01,00400,33,3415,110.31631138454219,-0.03230345867775759,0
01,00400,42,447,-5.9859385801494644,0.01339136147684444,0
01,00400,44,3807,-77.37915066958577,0.020325492689673173,0
01,00400,45,1819,-125.14012248377983,0.06879610911697627,0
01,00400,48,721,-39.814652109385165,0.055221431497066806,0
01,00400,49,477,-43.38321743483966,0.09095014137282947,0
01,00400,51,141,1.1533116870262698,-0.008179515510824608,0
01,00400,52,1055,-4.290524690838365,0.0040668480481880235,0
01,00400,53,395,9.748677368918877,-0.0246801958706807,0
01,00400,54,638,1.4181364797326144,-0.0022227844509915586,0
01,00400,56,1217,-129.35251560633503,0.10628801611038212,0
01,00400,61,1245,53.060312023090155,-0.042618724516538274,0
01,00400,62,3355,222.56655728564473,-0.06633876521181661,0
01,00400,71,377,65.59213834638449,-0.1739844518471737,0
01,00400,72,2498,160.83419141267774,-0.06438518471284137,0
01,00400,81,2224,-4.45339447562444,0.0020024255735721403,0
01,00400,92,1060,14.31368648739783,-0.01350347781829984,0
01,00500,11,485,-0.4963482640762724,0.0010233984826314895,0
01,00500,21,9,-0.7051835107759734,0.0783537234195526,0
01,00500,22,179,-7.608334567410875,0.04250466238777025,0
01,00500,23,2971,-142.68135614869126,0.04802469072658743,0
01,00500,31,2858,-24.011898673413494,0.008401644042481978,0
01,00500,32,638,8.740631344387552,-0.013700049129134095,0
01,00500,33,2544,80.24114404894006,-0.03154133020791669,0
01,00500,42,659,-11.686233042955168,0.01773328231100936,0
01,00500,44,3171,-97.35797847642068,0.030702610683197944,0
01,00500,45,1735,-124.03909166594426,0.07149227185357018,0
01,00500,48,681,5.334402536381325,-0.00783319021495055,0
01,00500,49,213,-21.09617078183061,0.09904305531375875,0
01,00500,51,610,7.674905120223775,-0.012581811672497991,0
01,00500,52,972,-4.815558819091014,0.004954278620464006,0
01,00500,53,504,5.934366151605464,-0.011774536015090206,0
01,00500,54,1398,10.721450700422519,-0.007669134978843003,0
01,00500,56,1737,-176.55077430684378,0.10164120570342186,0
01,00500,61,1834,78.41530423297708,-0.04275643633204857,0
01,00500,62,3622,193.60965980309516,-0.05345379895171042,0
01,00500,71,406,57.39844135512597,-0.14137547131804426,0
01,00500,72,2575,193.902568927258,-0.07530196851544,0
01,00500,81,1774,-6.279768233729467,0.003539891901764074,0
01,00500,92,668,8.780861237044366,-0.013145001851862823,0
01,00600,11,465,0,-0,0
01,00600,21,0,0,0,0
01,00600,22,237,-11.696725527601444,0.049353272268360525,0
01,00600,23,3588,-172.31259032699572,0.04802469072658744,0
