state,industry,reference,percent_change_state_imputed
01,32311400,174,-0.02821199249073314
01,32311500,155.7,-0.011880851702745554
01,32311600,535.5,0.013914283306942221
01,32311811,86.1,-0.07974789701233997
01,32329100,287.4,-0.0368109449562084
01,32329900,37.9,-0.037447164873472216
01,32322100,95.5,-0.03500126042043872
01,32322210,150.1,0.004220061490608384
01,32324110,68.4,-0.04325709084201923
01,32324190,45.6,-0.11416352359055726
01,32325200,94.2,-0.04699401163819017
01,32325300,37.3,0.023735654863406563
01,32325400,308.2,0.01779351569330545
01,32325500,65.1,-0.043432611734073756
01,32325600,111.2,-0.005856221233571102
01,32326100,608.3,-0.006917439446013751
01,32326210,58.8,0.04763936601495078
01,32326290,78.9,-0.029434429282636176
01,32311100,63.7,0.05712336181013822
01,32311200,60,0.003167317854094409
01,32311800,314.9,-0.03033855702682009
01,32311700,34.9,0.027493965418564303
01,32311900,234.1,-0.023996287442787256
01,32322220,55.7,-0.003739922099027182
01,32322290,61.8,-0.0035859534853838193
01,32325100,153.4,0.005767595749348375
01,32325900,81.6,-0.09138485714836864
01,32313000,106.5,-0.08978418359145213
01,32314000,111.3,-0.05482221049501179
01,32315000,105,-0.15505581337012408
01,32323000,417.2,-0.10248949825347342
01,32311000,1655.4,-0.008519283571542968
01,32322000,363.6,-0.0094389659710985
01,32324000,114.3,-0.07580072025676332
01,32325000,851.1,-0.007763401869041564
01,32326000,746.2,-0.007002565804681504
01,41423100,363.2,-0.0276341990695268
01,41423200,115.2,-0.019033948212943463
01,41423300,247.3,0.04861506389560666
01,41423400,696.4,0.010184273275345657
01,41423500,136.6,-0.04370172314380405
01,41423600,358.5,0.0037338051575818154
01,41423700,289.5,0.024662978960343862
01,41423800,720.5,-0.012429617694013628
01,41423930,102.4,-0.08207648293516578
01,41424100,126.2,0.013861937826284754
01,41424300,153.9,-0.09680586568495864
01,41424400,801.5,-0.018167250709869243
01,41424500,69.5,0.05598418297786545
01,41424700,101.1,0.009943863897818095
01,41424800,204.2,0.018089327461690896
01,41424910,120.3,0.04492071455061242
01,44221100,381.7,0.03443131019379675
01,44221200,110.9,0.031616556870367796
01,44221300,53.4,0.005885645667171757
01,41423900,295.2,-0.03146196311809246
01,41424200,240.1,0.016606106097429074
01,41424600,148,-0.020566468392929638
01,41424900,334.1,0.034412215768633736
01,41425110,34,0.03325874145222241
01,41425120,499.1,-0.01608655066181819
01,41420000,5934.2,-0.003813836580730756
01,41423000,3221,-0.0024575636360349984
01,41424000,2180.4,-0.0036712297310428355
01,44220000,546.1,0.029971314080647682
01,42443141,48.2,0.02456507454836865
01,42443142,427.8,-0.028234251929471266
01,42444130,158.3,0.06616770229574331
01,42444200,156.4,0.09515495980964184
01,42445110,2538.5,0.08062433892315812
01,42445120,163.1,-0.004620728848003575
01,42445200,226.3,-0.02630130836229172
01,42445300,161.8,0.03945992722912983
01,42446110,698.6,0.027445872099536972
01,42448100,969.1,-0.21707664348757094
01,42448200,195,-0.19098153541743457
01,42448300,125.7,-0.14493661772573874
01,42451130,36.5,0.09274999176337351
01,42451140,33,-0.1181674013458005
01,42451200,79.3,-0.4524140290350511
01,42453100,56.9,-0.07224800798725506
01,42453210,92.6,-0.05181695354366678
01,42453300,180.4,-0.09168635822632554
01,42453220,135.2,-0.19108906621252308
01,42453900,354.5,0.034131679733513165
01,42454100,373.9,0.11238322277633495
01,42454200,41.6,-0.0853570718314377
01,42454310,70.7,-8.110485477906826e-4
01,42454390,65.7,-0.04839565045220817
01,42444100,1150.7,0.12486805338528584
01,42451110,276.3,-0.012659554144142104
01,42451120,125.5,-0.2920778202761397
01,42441100,1309.4,-0.017657563220817685
01,42441200,165.6,-2.3274055247157754e-4
01,42441300,588.7,0.03301531111955758
01,42442000,470.7,-0.030216991575462315
01,42447000,947.2,0.028106060204807326
01,42452200,1078.5,-0.002599319201024075
01,42452300,1968.3,0.10184580217585937
01,42446000,1058.3,-0.029706052732565325
01,42000000,15672,0.01117678885842277
01,42441000,2063.7,-0.0018041582888714824
01,42443000,475.3,-0.019588301393272944
01,42444000,1309.3,0.11989197298882048
01,42445000,3090.2,0.06581050446364134
01,42448000,1289.1,-0.20313396137949502
01,42451000,549.8,-0.14398615637517742
01,42452000,3046.8,0.06487453284247058
01,42453000,820.4,-0.056246126269819396
01,42454000,551.2,0.0660398802730614
01,43485300,70.5,-0.2921607086540656
01,43485400,212.2,-0.1269198345957372
01,43485500,108.9,-0.16095308112148654
01,43485900,117.7,-0.14170366255176203
01,43481000,511.2,-0.1592116869345097
01,43482000,159.9,-0.014209088479489318
01,43483000,64.9,-0.0322558068155836
01,43484000,1527.3,0.045588646527007226
01,43486000,50.5,0.052502160506572415
01,43487000,36.7,-0.22222738329249414
01,43488000,763.8,-0.010636549279567142
01,43492000,847.8,0.2947802524346613
01,43493000,1207.8,0.1606190377680693
01,50511110,121.4,-0.11340078476150506
01,50511200,486.3,0.021274998927386157
