IND,state,led_code,percent_change_state_imputed
6390,01,49,0.12050501294758531
0570,01,22,0.0050145028543702175
0580,01,22,-0.005694214075323889
0670,01,22,-0.00537564344075836
0680,01,22,-0.00537564344075836
6470,01,51,-0.10528995494895743
6490,01,51,0.093306048344296455
6570,01,51,-0.26360226401967246
6590,01,51,-0.26360226401967246
6670,01,51,-0.06543332214918995
6672,01,51,0.1268313822407381
6680,01,51,-0.004588733267377965
6695,01,51,0.062242931127503676
6770,01,51,0.11242371625147074
6780,01,51,0.11242371625147074
6970,01,52,0.017016367073259375
6991,01,52,-0.007592682537744255
6992,01,52,-0.00556232649558186
7072,01,53,0.005072649478292113
7080,01,53,-0.14658904006054752
7270,01,54,-0.029261068291504544
7280,01,54,0.028171661334030373
7290,01,54,0.003524318987876418
7370,01,54,-0.010393328093404652
7380,01,54,3.8737432217939016e-4
7390,01,54,0.025329182226857982
7460,01,54,0.07157321437357367
7470,01,54,-0.09449070610135912
7480,01,54,0.0852492611475788
7570,01,55,-0.037987427709328614
7580,01,56,-0.06863433149090947
7590,01,56,-0.09593629725539954
7670,01,56,-0.2824319801847224
7680,01,56,-0.04482379564063077
7770,01,56,0.010869639653551144
7790,01,56,-0.01792687927280101
7860,01,61,-0.0702590896012868
7970,01,62,-6.521478772547606e-4
7980,01,62,0.030152672521886803
7990,01,62,0.07019034636147758
8070,01,62,0.013309560476791105
8090,01,62,0.013751623840871918
8170,01,62,-0.021979384467184948
8192,01,62,-0.04554855244155853
8270,01,62,-0.1293265762817546
8370,01,62,-0.02446694939526617
8380,01,62,-0.006158787957680767
8390,01,62,-0.12347277606269003
8470,01,62,-0.10557158207453932
8561,01,71,-0.23966309634517802
8562,01,71,-0.028700256941971758
8563,01,71,-0.2043596896974742
8564,01,71,0.006682528440813851
8570,01,71,-0.09584699937196406
8580,01,71,-0.11558621078500986
8660,01,72,-0.14116334909390815
8690,01,72,-0.17440713518523354
8780,01,81,0.0119055317433997
8790,01,81,-0.03476988091949007
8870,01,81,-0.05102051990681444
8891,01,81,-0.03534049940586825
8970,01,81,-0.15478033608534614
8980,01,81,-0.15478033608534614
9070,01,81,-0.2089051904807
9080,01,81,-0.04122839930310018
9090,01,81,-0.15894591342739417
9180,01,81,-0.07854857741233268
9670,01,92,0.0247748095907101
9680,01,92,0.0247748095907101
9690,01,92,0.0247748095907101
9770,01,92,0.0247748095907101
9780,01,92,0.0247748095907101
9790,01,92,0.0247748095907101
9870,01,92,0.0247748095907101
0170,01,11,NA
0180,01,11,NA
0190,01,11,NA
0280,01,11,NA
0290,01,11,NA
0590,01,22,NA
9920,01,NA,NA
1070,01,31,0.06326827471144679
1270,01,31,-0.010340682879662014
1280,01,31,-0.026365936127057954
1890,01,32,-0.028757497033046954
2290,01,32,-0.03625110309074654
2570,01,32,-0.0017358532387194339
2590,01,32,-0.0017358532387194339
2670,01,33,-0.006147023976907885
2870,01,33,0.030833112243575284
2980,01,33,-0.012112241353532944
3080,01,33,-0.06617980273156558
3291,01,33,0.04872121434478451
3370,01,33,0.04100052525661425
3390,01,33,0.04100052525661425
3490,01,33,-0.015341629715105581
3570,01,33,-0.048975540821883566
3580,01,33,-0.06886850015199714
3875,01,32,-6.194765903455745e-4
3980,01,33,0.031728374175285234
4290,01,42,0.015280982718506876
4380,01,42,-0.025070297948593202
4580,01,42,2.3971993274271005e-4
4585,01,42,-0.05462356295876956
4870,01,44,0.06721074363766702
5080,01,44,-0.13000271571757088
5275,01,45,-0.06209894466257397
6180,01,48,-0.1397284533928295
6480,01,51,-0.08136155472826061
6690,01,51,-0.026814354563323563
6870,01,52,-0.043493511814098
6880,01,52,-0.043493511814098
6890,01,52,0.05740277131190791
7071,01,53,-0.024485861091701887
7181,01,53,-0.1246842389437898
7190,01,53,-0.10457437943520433
7490,01,54,-0.0645389588145464
7690,01,56,-0.04634848314304981
7780,01,56,-0.021260627342447394
7870,01,61,-0.1080000363052692
7880,01,61,-0.16418073233245342
7890,01,61,-0.13371825425619774
8080,01,62,-0.019407149476229214
8180,01,62,0.007934430876431973
8191,01,62,-0.007456280162808879
8290,01,62,-0.08468375897462613
8590,01,71,-0.05019971155793666
8670,01,72,0.2248239424368321
8680,01,72,-0.030448817966079816
8770,01,81,-0.052496187875206275
8990,01,81,-0.06018003005054473
9160,01,81,-0.026296468882160796
9170,01,81,-0.1473628537898504
9190,01,81,0.018164593148886868
9370,01,92,-0.013266653455596598
9380,01,92,-0.013266653455596598
9390,01,92,-0.013266653455596598
9470,01,92,-0.013266653455596598
9480,01,92,-0.013266653455596598
9490,01,92,-0.013266653455596598
9570,01,92,-0.013266653455596598
9590,01,92,-0.013266653455596598
0480,01,21,-0.12085659487546786
0690,01,22,0.0014844659501752622
1290,01,31,-0.012798768391950155
1770,01,31,-0.004170474968707816
1790,01,31,-0.004170474968707816
2990,01,33,-5.4298548168764776e-5
3990,01,33,-0.004170474968707816
4590,01,42,-0.014271179620519494
5790,01,44,-0.006441946934764631
9290,01,81,-0.07367174793709064
0270,02,11,-0.21509957577526173
0370,02,21,-0.1258160498060299
0380,02,21,-0.24919023396342277
0390,02,21,-0.10459487459726535
0470,02,21,-0.12988921361129702
0490,02,21,-0.2711564882121409
0770,02,23,0.03155876644653921
1080,02,31,-0.054864496186807665
1090,02,31,-0.04383016209629542
1170,02,31,-0.041368352227938776
1180,02,31,-0.028925614785094034
1190,02,31,-0.039985848492803844
1370,02,31,0.009166480057097859
1390,02,31,-0.030637817130573453
1470,02,31,-0.09728102659889681
1480,02,31,-0.09728102659889681
1490,02,31,-0.09728102659889681
1570,02,31,-0.06990632039733491
1590,02,31,-0.06990632039733491
1670,02,31,-0.13769879623934622
1691,02,31,-0.13769879623934622
1870,02,32,-0.10009840299981643
1880,02,32,-0.015037134827463605
1990,02,32,-0.12867037546038618
2070,02,32,-0.13265801963316515
2090,02,32,-0.1569926891141331
2170,02,32,-0.06609981042983415
2180,02,32,0.042666084921427094
2190,02,32,0.03025165441874056
2270,02,32,-0.033274986061983314
2280,02,32,-0.004420939216495778
2370,02,32,-0.03353228599891933
2380,02,32,0.02997247188367058
2390,02,32,-0.01707248742615286
2470,02,32,-0.08285607307493903
2480,02,32,-0.08285607307493903
2490,02,32,-0.07007977875658844
2680,02,33,-0.03481421599386547
2690,02,33,-0.09754498564855152
2770,02,33,-0.10199721232581993
2780,02,33,-0.06511006940189334
2790,02,33,-0.03494090386937054
2880,02,33,-0.06430154323000992
2890,02,33,-0.10607729781090358
2970,02,33,0.16652623364427854
3070,02,33,0.09294547693818889
3095,02,33,-0.09277084093204746
3170,02,33,-0.08724987350686342
3180,02,33,-0.10064646706674574
3365,02,33,0.014435285791598917
3380,02,33,-0.006849729307849217
3470,02,33,0.06655248430693195
3590,02,33,0.04095232424308248
3670,02,33,0.038326778515458404
3680,02,33,-0.009348014289015216
3690,02,33,0.038326778515458404
3770,02,32,-0.006609443414892224
3780,02,32,-0.06733011748135298
3790,02,32,0.11116446609623065
3895,02,33,-0.06948961802395837
3960,02,33,0.007653877842016432
3970,02,33,0.1313730675251633
4070,02,42,-0.14013524347800943
4080,02,42,-0.113440678960397
4090,02,42,-0.021707817463950008
4170,02,42,-0.06480569157994898
4180,02,42,-0.11356407877966768
4195,02,42,-0.10062670915960148
4265,02,42,-0.06667139156824065
4270,02,42,-0.1141049735119587
4280,02,42,-0.14669505431187368
4370,02,42,-0.08644627035808472
4390,02,42,-0.18311008198434253
4470,02,42,-0.0983999078325849
4480,02,42,-0.056956844023232645
4490,02,42,-0.044230023242720407
4560,02,42,-0.09532248238887098
4570,02,42,-0.04729940501425767
4670,02,44,-0.06781234773297595
4680,02,44,-0.010587055329968287
4690,02,44,-0.02866786014384992
4770,02,44,-0.0737291459028031
4780,02,44,0.008196362343320995
4795,02,44,-0.13939860278934946
4880,02,44,8.311919328389816e-4
4890,02,44,0.0666195112711021
4971,02,44,-0.006368023936606182
4972,02,44,-0.017457686115192494
4980,02,44,-0.06598873135564176
4990,02,44,-0.03279893311903115
5070,02,44,0.007997960735509069
5090,02,44,-0.016515162111600645
5170,02,44,-0.1814078839311315
5180,02,44,-0.2948204590645144
