series_id,reference,percent_change_employment_previous,percent_change_imputed
CES3132199001,69,0.004347826086956497,0.00848810860035154
CES3133910001,330.7,-0.030843664953129735,-0.02907773141644643
CES3133992001,43.5,-0.006896551724137834,-0.005130618187454528
CES4142310001,363.2,-0.09196035242290745,-0.09245709256572021
CES4142320001,115.2,-0.06163194444444453,-0.06212868458725729
CES4142330001,247.3,-4.043671653862768e-4,-9.01107308199034e-4
CES4142340001,696.4,-0.03676048248133257,-0.037257222624145325
CES4142350001,136.6,-0.09297218155197651,-0.09346892169478926
CES4142360001,358.5,-0.03765690376569042,-0.038153643908503176
CES4142370001,289.5,-0.031433506044905135,-0.03193024618771789
CES4142380001,720.5,-0.06120749479528109,-0.06170423493809385
CES4142393001,102.4,-0.1162109375,-0.11670767764281276
CES4142410001,126.2,-0.030110935023771712,-0.02502012599790493
CES4142430001,153.9,-0.14944769330734242,-0.14435688428147564
CES4142440001,801.5,-0.08845913911416092,-0.08336833008829414
CES4142450001,69.5,0.01726618705035965,0.022356996076226432
CES4142470001,101.1,-0.03956478733926805,-0.034473978313401266
CES4142480001,204.2,-0.011753183153770719,-0.006662374127903936
CES4142491001,120.3,-0.020781379883624274,-0.01569057085775749
CES4244314101,48.2,-0.018672199170124637,0.01961940613179003
CES4244314201,427.8,-0.14820009350163632,-0.10990848819972165
CES4244413001,158.3,-0.0025268477574226234,0.008624148958379707
CES4244420001,156.4,0.0057544757033247684,0.0169054724191271
CES4244511001,2538.5,0.028323813275556553,0.030847921747500173
CES4244512001,163.1,-0.05027590435315754,-0.04775179588121392
CES4244520001,226.3,-0.08705258506407432,-0.0845284765921307
CES4244530001,161.8,-0.02966625463535233,-0.02714214616340871
CES4244611001,698.6,-0.019610649871171004,-0.007043324916054194
CES4244810001,969.1,-0.3089464451552987,-0.3001806395544919
CES4244820001,195,-0.23743589743589755,-0.2286700918350908
CES4244830001,125.7,-0.25059665871121717,-0.24183085311041042
CES4245113001,36.5,0.046575342465753566,0.06767392376804537
CES4245114001,33,-0.23939393939393938,-0.21829535809164757
CES4245120001,79.3,-0.5018915510718789,-0.4807929697695871
CES4245310001,56.9,-0.1827768014059754,-0.16363979506760384
CES4245321001,92.6,-0.14254859611231085,-0.12341158977393929
CES4245330001,180.4,-0.18680709534368078,-0.16767008900530922
CES4245322001,135.2,-0.2248520710059171,-0.20571506466754552
CES4245390001,354.5,-0.07249647390691116,-0.0533594675685396
CES4245410001,373.9,0.0077560845145761,0.018460003237362743
CES4245420001,41.6,-0.16586538461538458,-0.15516146589259794
CES4245431001,70.7,-0.028288543140028266,-0.017584624417241623
CES4245439001,65.7,-0.08980213089802136,-0.07909821217523472
CES4348530001,70.5,-0.4,-0.3781582054309327
CES4422110001,381.7,-0.008645533141210415,-0.00882864978651332
CES4422120001,110.9,-0.01352569882777277,-0.013708815473075675
CES4422130001,53.4,-0.059925093632958726,-0.06010821027826163
CES5051111001,121.4,-0.11285008237232297,-0.10804488756712805
CES5051120001,486.3,-0.022414147645486437,-0.017608952840291514
CES5051913001,287.6,0.012865090403337831,0.010889921103112155
CES5051731101,510.1,-0.01783963928641452,-0.024691887680418745
CES5552410001,1613.3,0.0017975578007811688,0.003855901189240285
CES5552420001,1204.3,-0.00581250518973675,-0.0037541618012776334
CES5553130001,757.6,-0.03893875395987323,-0.03488161110273036
CES5553210001,228.7,-0.2264975951027547,-0.2155536826540544
CES6054194001,408.4,0.013222331047992197,0.020401550471043972
CES6056173001,808.6,-0.006801879792233456,-0.004644729067063591
CES6561110001,1130.2,-0.07697752610157493,-0.058171205088123235
CES6562131001,141,-0.01134751773049636,0.0028253917653530136
CES6562132001,140.9,-0.07452093683463445,-0.06034802733878508
CES6562220001,149.1,-0.062374245472836876,-0.0606065207056824
CES7071110001,133.2,-0.575075075075075,-0.5440021808010863
CES7071120001,145.3,-0.46937370956641444,-0.4383008152924257
CES7071130001,181.1,-0.4881281060187741,-0.45705521174478536
CES7071150001,51.5,-0.3669902912621359,-0.33591739698814715
CES7071395001,69.8,-0.5229226361031518,-0.519786259737988
CES7072110001,2019.5,-0.38420401089378564,-0.3769347617307057
CES7072240001,397.6,-0.4607645875251509,-0.45266906688401165
CES8081119201,177.1,-0.042913608130999426,-0.02615747872435492
CES8081120001,106.1,-0.050895381715362786,-0.03413925230871828
CES8081130001,228.6,-0.0809273840769904,-0.0641712546703459
CES8081140001,79.9,-0.051314142678347996,-0.03455801327170349
CES8081211201,450.7,-0.17905480363878412,-0.16793068185892468
CES8081230001,291.1,-0.2160769495018895,-0.20495282772203005
CES8081220001,137.5,-0.021818181818181848,-0.010694060038322406
CES8081290001,363.7,-0.25570525158097335,-0.2445811298011139
CES8081393001,113.6,-0.1161971830985915,-0.10654620478024135
CES9091911001,553.4,0.004156125767979857,0.09205288195912043
CES3231110001,63.7,0.017268445839874413,0.028323175814502832
CES3231120001,60,-0.0033333333333334103,0.007721396641295009
CES3231180001,314.9,-0.06605271514766575,-0.054997985173037334
CES3231170001,34.9,-0.12034383954154726,-0.10928910956691884
CES3231190001,234.1,-0.034600598035027796,-0.023545868060399378
CES3232222001,55.7,-0.008976660682226245,-0.013377100726230662
CES3232229001,61.8,-0.014563106796116498,-0.018963546840120915
CES3232510001,153.4,-0.026075619295958252,-0.020670848998695868
CES3232590001,81.6,-0.08455882352941169,-0.0791540532321493
CES3132730001,201.9,-0.03566121842496295,-0.049758962785865224
CES3132790001,98.1,-0.033639143730886834,-0.04773688809178911
CES3133110001,83.5,-0.06227544910179639,-0.060397262893049475
CES3133120001,54.8,-0.07664233576642332,-0.07476414955767641
CES3133230001,404.6,-0.04275827978250124,-0.038040980773134
CES3133240001,95.3,-0.03777544596012583,-0.03305814695075859
CES3133260001,67.7,-0.07237813884785826,-0.06766083983849103
CES3133290001,283.4,-0.06633733239237816,-0.06162003338301092
CES3133312001,69.2,-0.06213872832369938,-0.0634001032223388
CES3133313001,69.6,-0.1594827586206896,-0.16074413351932904
CES3133510001,47,-0.08723404255319156,-0.0944033874234016
CES3133530001,145.7,-0.07000686341798212,-0.07717620828819216
