IND,naics,ces_code,led_code,formula_type,operator,series_id,recency,parent,parent_series_id
3790,"321991, 321992",31321990,32,single,NA,CES3132199001,1,31321000,CES3132100001
3895,337,31337000,33,single,NA,CES3133700001,0,NA,NA
3960,3391,31339100,33,single,NA,CES3133910001,1,31339000,CES3133900001
3970,"33992, 33993",31339920,33,single,NA,CES3133992001,1,31339000,CES3133900001
4070,4231,41423100,42,single,NA,CES4142310001,1,41423000,CES4142300001
4080,4232,41423200,42,single,NA,CES4142320001,1,41423000,CES4142300001
4090,4233,41423300,42,single,NA,CES4142330001,1,41423000,CES4142300001
4170,4234,41423400,42,single,NA,CES4142340001,1,41423000,CES4142300001
4180,4235,41423500,42,single,NA,CES4142350001,1,41423000,CES4142300001
4195,4236,41423600,42,single,NA,CES4142360001,1,41423000,CES4142300001
4265,4237,41423700,42,single,NA,CES4142370001,1,41423000,CES4142300001
4270,4238,41423800,42,single,NA,CES4142380001,1,41423000,CES4142300001
4280,42393,41423930,42,single,NA,CES4142393001,1,41423000,CES4142300001
4370,4241,41424100,42,single,NA,CES4142410001,1,41424000,CES4142400001
4390,4243,41424300,42,single,NA,CES4142430001,1,41424000,CES4142400001
4470,4244,41424400,42,single,NA,CES4142440001,1,41424000,CES4142400001
4480,4245,41424500,42,single,NA,CES4142450001,1,41424000,CES4142400001
4490,4247,41424700,42,single,NA,CES4142470001,1,41424000,CES4142400001
4560,4248,41424800,42,single,NA,CES4142480001,1,41424000,CES4142400001
4570,42491,41424910,42,single,NA,CES4142491001,1,41424000,CES4142400001
4670,4411,42441100,44,single,NA,CES4244110001,0,NA,NA
4680,4412,42441200,44,single,NA,CES4244120001,0,NA,NA
4690,4413,42441300,44,single,NA,CES4244130001,0,NA,NA
4770,442,42442000,44,single,NA,CES4244200001,0,NA,NA
4780,443141,42443141,44,single,NA,CES4244314101,1,42443000,CES4244300001
4795,443142,42443142,44,single,NA,CES4244314201,1,42443000,CES4244300001
4880,44413,42444130,44,single,NA,CES4244413001,1,42444000,CES4244400001
4890,4442,42444200,44,single,NA,CES4244420001,1,42444000,CES4244400001
4971,44511,42445110,44,single,NA,CES4244511001,1,42445000,CES4244500001
4972,44512,42445120,44,single,NA,CES4244512001,1,42445000,CES4244500001
4980,4452,42445200,44,single,NA,CES4244520001,1,42445000,CES4244500001
4990,4453,42445300,44,single,NA,CES4244530001,1,42445000,CES4244500001
5070,44611,42446110,44,single,NA,CES4244611001,1,42446000,CES4244600001
5090,447,42447000,44,single,NA,CES4244700001,0,NA,NA
5170,4481,42448100,44,single,NA,CES4244810001,1,42448000,CES4244800001
5180,44821,42448200,44,single,NA,CES4244820001,1,42448000,CES4244800001
5190,4483,42448300,44,single,NA,CES4244830001,1,42448000,CES4244800001
5280,45113,42451130,45,single,NA,CES4245113001,1,42451000,CES4245100001
5295,45114,42451140,45,single,NA,CES4245114001,1,42451000,CES4245100001
5370,45121,42451200,45,single,NA,CES4245120001,1,42451000,CES4245100001
5381,45221,42452200,45,single,NA,CES4245220001,0,NA,NA
5391,4523,42452300,45,single,NA,CES4245230001,0,NA,NA
5470,4531,42453100,45,single,NA,CES4245310001,1,42453000,CES4245300001
5480,45321,42453210,45,single,NA,CES4245321001,1,42453000,CES4245300001
5490,4533,42453300,45,single,NA,CES4245330001,1,42453000,CES4245300001
5570,45322,42453220,45,single,NA,CES4245322001,1,42453000,CES4245300001
5580,4539,42453900,45,single,NA,CES4245390001,1,42453000,CES4245300001
5593,454110,42454100,45,single,NA,CES4245410001,1,42454000,CES4245400001
5670,4542,42454200,45,single,NA,CES4245420001,1,42454000,CES4245400001
5680,454310,42454310,45,single,NA,CES4245431001,1,42454000,CES4245400001
5690,45439,42454390,45,single,NA,CES4245439001,1,42454000,CES4245400001
6070,481,43481000,48,single,NA,CES4348100001,0,NA,NA
6080,482,43482000,48,single,NA,CES4348200001,0,NA,NA
6090,483,43483000,48,single,NA,CES4348300001,0,NA,NA
6170,484,43484000,48,single,NA,CES4348400001,0,NA,NA
6190,4853,43485300,48,single,NA,CES4348530001,1,43485000,CES4348500001
6270,486,43486000,48,single,NA,CES4348600001,0,NA,NA
6280,487,43487000,48,single,NA,CES4348700001,0,NA,NA
6290,488,43488000,48,single,NA,CES4348800001,0,NA,NA
6370,491,90919120,49,single,NA,CES9091912001,0,NA,NA
6380,492,43492000,49,single,NA,CES4349200001,0,NA,NA
6390,493,43493000,49,single,NA,CES4349300001,0,NA,NA
0570,2211,44221100,22,single,NA,CES4422110001,1,44220000,CES4422000001
0580,2212,44221200,22,single,NA,CES4422120001,1,44220000,CES4422000001
0590,"Pts. 2211, 2212",NA,22,single,NA,NA,NA,NA,NA
0670,"22131, 22133",44221300,22,single,NA,CES4422130001,1,44220000,CES4422000001
0680,22132,44221300,22,single,NA,CES4422130001,1,44220000,CES4422000001
6470,51111,50511110,51,single,NA,CES5051111001,1,50511000,CES5051100001
6490,5112,50511200,51,single,NA,CES5051120001,1,50511000,CES5051100001
6570,5121,50512000,51,single,NA,CES5051200001,0,NA,NA
6590,5122,50512000,51,single,NA,CES5051200001,0,NA,NA
6670,515,50515000,51,single,NA,CES5051500001,0,NA,NA
6672,51913,50519130,51,single,NA,CES5051913001,1,50519000,CES5051900001
6680,517311,50517311,51,single,NA,CES5051731101,1,50517000,CES5051700001
6695,5182,50518000,51,single,NA,CES5051800001,0,NA,NA
6770,51912,50519000,51,single,NA,CES5051900001,0,NA,NA
6780,"5191 exc. 51912, 51913",50519000,51,single,NA,CES5051900001,0,NA,NA
6970,"523, 525",55523000,52,single,NA,CES5552300001,0,NA,NA
6991,5241,55524100,52,single,NA,CES5552410001,1,55524000,CES5552400001
6992,5242,55524200,52,single,NA,CES5552420001,1,55524000,CES5552400001
7072,5313,55531300,53,single,NA,CES5553130001,1,55531000,CES5553100001
7080,5321,55532100,53,single,NA,CES5553210001,1,55532000,CES5553200001
7270,5411,60541100,54,single,NA,CES6054110001,0,NA,NA
7280,5412,60541200,54,single,NA,CES6054120001,0,NA,NA
7290,5413,60541300,54,single,NA,CES6054130001,0,NA,NA
7370,5414,60541400,54,single,NA,CES6054140001,0,NA,NA
7380,5415,60541500,54,single,NA,CES6054150001,0,NA,NA
7390,5416,60541600,54,single,NA,CES6054160001,0,NA,NA
7460,5417,60541700,54,single,NA,CES6054170001,0,NA,NA
7470,5418,60541800,54,single,NA,CES6054180001,0,NA,NA
7480,54194,60541940,54,single,NA,CES6054194001,1,60541900,CES6054190001
7570,55,60550000,55,single,NA,CES6055000001,0,NA,NA
7570,55,60550000,55,single,NA,CES6055000001,0,NA,NA
7580,5613,60561300,56,single,NA,CES6056130001,0,NA,NA
7590,5614,60561400,56,single,NA,CES6056140001,0,NA,NA
7670,5615,60561500,56,single,NA,CES6056150001,0,NA,NA
7680,5616,60561600,56,single,NA,CES6056160001,0,NA,NA
7770,56173,60561730,56,single,NA,CES6056173001,1,60561700,CES6056170001
7790,562,60562000,56,single,NA,CES6056200001,0,NA,NA
7860,6111,65611100,61,single,NA,CES6561110001,1,65610000,CES6561000001
7970,6211,65621100,62,single,NA,CES6562110001,0,NA,NA
7980,6212,65621200,62,single,NA,CES6562120001,0,NA,NA
7990,62131,65621310,62,single,NA,CES6562131001,1,65621300,CES6562130001
8070,62132,65621320,62,single,NA,CES6562132001,1,65621300,CES6562130001
8090,6214,65621400,62,single,NA,CES6562140001,0,NA,NA
8170,6216,65621600,62,single,NA,CES6562160001,0,NA,NA
8192,6222,65622200,62,single,NA,CES6562220001,1,65622000,CES6562200001
8270,6231,65623100,62,single,NA,CES6562310001,0,NA,NA
8370,6241,65624100,62,single,NA,CES6562410001,0,NA,NA
8380,6242,65624200,62,single,NA,CES6562420001,0,NA,NA
8390,6243,65624300,62,single,NA,CES6562430001,0,NA,NA
8470,6244,65624400,62,single,NA,CES6562440001,0,NA,NA
8561,7111,70711100,71,single,NA,CES7071110001,1,70711000,CES7071100001
8562,7112,70711200,71,single,NA,CES7071120001,1,70711000,CES7071100001
8563,"7113, 7114",70711300,71,single,NA,CES7071130001,1,70711000,CES7071100001
8564,7115,70711500,71,single,NA,CES7071150001,1,70711000,CES7071100001
8570,712,70712000,71,single,NA,CES7071200001,0,NA,NA
8580,71395,70713950,71,single,NA,CES7071395001,1,70713000,CES7071300001
8660,7211,70721100,72,single,NA,CES7072110001,1,70721000,CES7072100001
8690,7224,70722400,72,single,NA,CES7072240001,1,70722000,CES7072200001
8780,811192,80811192,81,single,NA,CES8081119201,1,80811000,CES8081100001
8790,8112,80811200,81,single,NA,CES8081120001,1,80811000,CES8081100001
8870,8113,80811300,81,single,NA,CES8081130001,1,80811000,CES8081100001
8891,8114,80811400,81,single,NA,CES8081140001,1,80811000,CES8081100001
8970,812111,80812112,81,single,NA,CES8081211201,1,80812000,CES8081200001
8980,812112,80812112,81,single,NA,CES8081211201,1,80812000,CES8081200001
9070,8123,80812300,81,single,NA,CES8081230001,1,80812000,CES8081200001
9080,8122,80812200,81,single,NA,CES8081220001,1,80812000,CES8081200001
9090,8129,80812900,81,single,NA,CES8081290001,1,80812000,CES8081200001
9180,81393,80813930,81,single,NA,CES8081393001,1,80813000,CES8081300001
9670,928110,90919110,92,single,NA,CES9091911001,1,90910000,CES9091000001
9680,928110,90919110,92,single,NA,CES9091911001,1,90910000,CES9091000001
9690,928110,90919110,92,single,NA,CES9091911001,1,90910000,CES9091000001
9770,928110,90919110,92,single,NA,CES9091911001,1,90910000,CES9091000001
9780,928110,90919110,92,single,NA,CES9091911001,1,90910000,CES9091000001
9790,928110,90919110,92,single,NA,CES9091911001,1,90910000,CES9091000001
9870,928110,90919110,92,single,NA,CES9091911001,1,90910000,CES9091000001
9920,NA,NA,NA,single,NA,NA,NA,NA,NA
0480,Part of 21,10210000,21,formula,+,CES1021000001,0,NA,NA
0480,Part of 21,10211000,21,formula,-,CES1021100001,0,NA,NA
0480,Part of 21,10212100,21,formula,-,CES1021210001,0,NA,NA
0480,Part of 21,10212200,21,formula,-,CES1021220001,0,NA,NA
0480,Part of 21,10212300,21,formula,-,CES1021230001,0,NA,NA
0480,Part of 21,10213000,21,formula,-,CES1021300001,0,NA,NA
1070,"3111, 3112",32311100,31,formula,+,CES3231110001,1,32311000,CES3231100001
1070,"3111, 3112",32311200,31,formula,+,CES3231120001,1,32311000,CES3231100001
1270,3118 exc. 311811,32311800,31,formula,+,CES3231180001,1,32311000,CES3231100001
1270,3118 exc. 311811,32311811,31,formula,-,CES3231181101,1,32311000,CES3231100001
1280,"3117, 3119",32311700,31,formula,+,CES3231170001,1,32311000,CES3231100001
1280,"3117, 3119",32311900,31,formula,+,CES3231190001,1,32311000,CES3231100001
1290,Part of 311,32311000,31,formula,+,CES3231100001,0,NA,NA
1290,Part of 311,32311100,31,formula,-,CES3231110001,1,32311000,CES3231100001
1290,Part of 311,32311200,31,formula,-,CES3231120001,1,32311000,CES3231100001
1290,Part of 311,32311300,31,formula,-,CES3231130001,1,32311000,CES3231100001
1290,Part of 311,32311400,31,formula,-,CES3231140001,1,32311000,CES3231100001
1290,Part of 311,32311500,31,formula,-,CES3231150001,1,32311000,CES3231100001
1290,Part of 311,32311600,31,formula,-,CES3231160001,1,32311000,CES3231100001
1290,Part of 311,32311800,31,formula,-,CES3231180001,1,32311000,CES3231100001
1290,Part of 311,32311700,31,formula,-,CES3231170001,1,32311000,CES3231100001
1290,Part of 311,32311900,31,formula,-,CES3231190001,1,32311000,CES3231100001
1770,3162,30000000,31,formula,+,CES3000000001,0,NA,NA
1770,3162,31321000,31,formula,-,CES3132100001,0,NA,NA
1770,3162,31327000,31,formula,-,CES3132700001,0,NA,NA
1770,3162,31331000,31,formula,-,CES3133100001,0,NA,NA
1770,3162,31332000,31,formula,-,CES3133200001,0,NA,NA
1770,3162,31333000,31,formula,-,CES3133300001,0,NA,NA
1770,3162,31334000,31,formula,-,CES3133400001,0,NA,NA
1770,3162,31335000,31,formula,-,CES3133500001,0,NA,NA
1770,3162,31336000,31,formula,-,CES3133600001,0,NA,NA
1770,3162,31337000,31,formula,-,CES3133700001,0,NA,NA
1770,3162,31339000,31,formula,-,CES3133900001,0,NA,NA
1770,3162,32311000,31,formula,-,CES3231100001,0,NA,NA
1770,3162,32313000,31,formula,-,CES3231300001,0,NA,NA
1770,3162,32314000,31,formula,-,CES3231400001,0,NA,NA
1770,3162,32315000,31,formula,-,CES3231500001,0,NA,NA
1770,3162,32322000,31,formula,-,CES3232200001,0,NA,NA
1770,3162,32323000,31,formula,-,CES3232300001,0,NA,NA
1770,3162,32324000,31,formula,-,CES3232400001,0,NA,NA
1770,3162,32325000,31,formula,-,CES3232500001,0,NA,NA
1770,3162,32326000,31,formula,-,CES3232600001,0,NA,NA
1770,3162,32329100,31,formula,-,CES3232910001,1,32329000,CES3232900001
1770,3162,32329900,31,formula,-,CES3232990001,1,32329000,CES3232900001
1790,"3161, 3169",30000000,31,formula,+,CES3000000001,0,NA,NA
1790,"3161, 3169",31321000,31,formula,-,CES3132100001,0,NA,NA
1790,"3161, 3169",31327000,31,formula,-,CES3132700001,0,NA,NA
1790,"3161, 3169",31331000,31,formula,-,CES3133100001,0,NA,NA
1790,"3161, 3169",31332000,31,formula,-,CES3133200001,0,NA,NA
1790,"3161, 3169",31333000,31,formula,-,CES3133300001,0,NA,NA
1790,"3161, 3169",31334000,31,formula,-,CES3133400001,0,NA,NA
1790,"3161, 3169",31335000,31,formula,-,CES3133500001,0,NA,NA
1790,"3161, 3169",31336000,31,formula,-,CES3133600001,0,NA,NA
1790,"3161, 3169",31337000,31,formula,-,CES3133700001,0,NA,NA
1790,"3161, 3169",31339000,31,formula,-,CES3133900001,0,NA,NA
1790,"3161, 3169",32311000,31,formula,-,CES3231100001,0,NA,NA
1790,"3161, 3169",32313000,31,formula,-,CES3231300001,0,NA,NA
1790,"3161, 3169",32314000,31,formula,-,CES3231400001,0,NA,NA
1790,"3161, 3169",32315000,31,formula,-,CES3231500001,0,NA,NA
1790,"3161, 3169",32322000,31,formula,-,CES3232200001,0,NA,NA
1790,"3161, 3169",32323000,31,formula,-,CES3232300001,0,NA,NA
1790,"3161, 3169",32324000,31,formula,-,CES3232400001,0,NA,NA
1790,"3161, 3169",32325000,31,formula,-,CES3232500001,0,NA,NA
1790,"3161, 3169",32326000,31,formula,-,CES3232600001,0,NA,NA
1790,"3161, 3169",32329100,31,formula,-,CES3232910001,1,32329000,CES3232900001
1790,"3161, 3169",32329900,31,formula,-,CES3232990001,1,32329000,CES3232900001
1890,"32222,32223, 32229",32322220,32,formula,+,CES3232222001,1,32322000,CES3232200001
1890,"32222,32223, 32229",32322290,32,formula,+,CES3232229001,1,32322000,CES3232200001
2290,"3251, 3259",32325100,32,formula,+,CES3232510001,1,32325000,CES3232500001
2290,"3251, 3259",32325900,32,formula,+,CES3232590001,1,32325000,CES3232500001
2570,"3273, 3274",31327300,32,formula,+,CES3132730001,1,31327000,CES3132700001
2570,"3273, 3274",31327900,32,formula,+,CES3132790001,1,31327000,CES3132700001
2590,3279,31327300,32,formula,+,CES3132730001,1,31327000,CES3132700001
2590,3279,31327900,32,formula,+,CES3132790001,1,31327000,CES3132700001
2670,"3311, 3312",31331100,33,formula,+,CES3133110001,1,31331000,CES3133100001
2670,"3311, 3312",31331200,33,formula,+,CES3133120001,1,31331000,CES3133100001
2870,"3323, 3324",31332300,33,formula,+,CES3133230001,1,31332000,CES3133200001
2870,"3323, 3324",31332400,33,formula,+,CES3133240001,1,31332000,CES3133200001
2980,"3325, 3326, 3329 exc. 332992, 332993, 332994, 332996",31332600,33,formula,+,CES3133260001,1,31332000,CES3133200001
2980,"3325, 3326, 3329 exc. 332992, 332993, 332994, 332996",31332900,33,formula,+,CES3133290001,1,31332000,CES3133200001
2980,"3325, 3326, 3329 exc. 332992, 332993, 332994, 332996",31332994,33,formula,-,CES3133299401,1,31332000,CES3133200001
2990,Part of 331 and 332,31331000,33,formula,+,CES3133100001,0,NA,NA
2990,Part of 331 and 332,31332000,33,formula,+,CES3133200001,0,NA,NA
2990,Part of 331 and 332,31331100,33,formula,-,CES3133110001,1,31331000,CES3133100001
2990,Part of 331 and 332,31331200,33,formula,-,CES3133120001,1,31331000,CES3133100001
2990,Part of 331 and 332,31331300,33,formula,-,CES3133130001,1,31331000,CES3133100001
2990,Part of 331 and 332,31331400,33,formula,-,CES3133140001,1,31331000,CES3133100001
2990,Part of 331 and 332,31331500,33,formula,-,CES3133150001,1,31331000,CES3133100001
2990,Part of 331 and 332,31332100,33,formula,-,CES3133210001,1,31332000,CES3133200001
2990,Part of 331 and 332,31332200,33,formula,-,CES3133220001,1,31332000,CES3133200001
2990,Part of 331 and 332,31332300,33,formula,-,CES3133230001,1,31332000,CES3133200001
2990,Part of 331 and 332,31332400,33,formula,-,CES3133240001,1,31332000,CES3133200001
2990,Part of 331 and 332,31332700,33,formula,-,CES3133270001,1,31332000,CES3133200001
2990,Part of 331 and 332,31332800,33,formula,-,CES3133280001,1,31332000,CES3133200001
2990,Part of 331 and 332,31332994,33,formula,-,CES3133299401,1,31332000,CES3133200001
2990,Part of 331 and 332,31332600,33,formula,-,CES3133260001,1,31332000,CES3133200001
2990,Part of 331 and 332,31332900,33,formula,-,CES3133290001,1,31332000,CES3133200001
3080,"33312, 33313",31333120,33,formula,+,CES3133312001,1,31333000,CES3133300001
3080,"33312, 33313",31333130,33,formula,+,CES3133313001,1,31333000,CES3133300001
3291,"3332, 3334, 3339, Part of 333",31333000,33,formula,+,CES3133300001,0,NA,NA
3291,"3332, 3334, 3339, Part of 333",31333110,33,formula,-,CES3133311001,1,31333000,CES3133300001
3291,"3332, 3334, 3339, Part of 333",31333120,33,formula,-,CES3133312001,1,31333000,CES3133300001
3291,"3332, 3334, 3339, Part of 333",31333130,33,formula,-,CES3133313001,1,31333000,CES3133300001
3291,"3332, 3334, 3339, Part of 333",31333300,33,formula,-,CES3133330001,1,31333000,CES3133300001
3291,"3332, 3334, 3339, Part of 333",31333500,33,formula,-,CES3133350001,1,31333000,CES3133300001
3291,"3332, 3334, 3339, Part of 333",31333600,33,formula,-,CES3133360001,1,31333000,CES3133300001
3370,"3342, 3343",31334200,33,formula,+,CES3133420001,0,NA,NA
3370,"3342, 3343",31334400,33,formula,+,CES3133440001,0,NA,NA
3370,"3342, 3343",31334600,33,formula,+,CES3133460001,0,NA,NA
3390,"3344, 3346",31334200,33,formula,+,CES3133420001,0,NA,NA
3390,"3344, 3346",31334400,33,formula,+,CES3133440001,0,NA,NA
3390,"3344, 3346",31334600,33,formula,+,CES3133460001,0,NA,NA
3490,"3351, 3353, 3359",31335100,33,formula,+,CES3133510001,1,31335000,CES3133500001
3490,"3351, 3353, 3359",31335300,33,formula,+,CES3133530001,1,31335000,CES3133500001
3490,"3351, 3353, 3359",31335900,33,formula,+,CES3133590001,1,31335000,CES3133500001
3570,"3361, 3362, 3363",31336100,33,formula,+,CES3133610001,1,31336000,CES3133600001
3570,"3361, 3362, 3363",31336200,33,formula,+,CES3133620001,1,31336000,CES3133600001
3570,"3361, 3362, 3363",31336300,33,formula,+,CES3133630001,1,31336000,CES3133600001
3580,"336411, 336412, 336413",31336411,33,formula,+,CES3133641101,1,31336000,CES3133600001
3580,"336411, 336412, 336413",31336412,33,formula,+,CES3133641201,1,31336000,CES3133600001
3580,"336411, 336412, 336413",31336413,33,formula,+,CES3133641301,1,31336000,CES3133600001
3875,"3219 exc. 321991, 321992",31321900,32,formula,+,CES3132190001,1,31321000,CES3132100001
3875,"3219 exc. 321991, 321992",31321990,32,formula,-,CES3132199001,1,31321000,CES3132100001
3980,"3399 exc. 33992, 33993",31339900,33,formula,+,CES3133990001,1,31339000,CES3133900001
3980,"3399 exc. 33992, 33993",31339920,33,formula,-,CES3133992001,1,31339000,CES3133900001
3990,"Part of 31, 32, 33",30000000,33,formula,+,CES3000000001,0,NA,NA
3990,"Part of 31, 32, 33",31321000,33,formula,-,CES3132100001,0,NA,NA
3990,"Part of 31, 32, 33",31327000,33,formula,-,CES3132700001,0,NA,NA
3990,"Part of 31, 32, 33",31331000,33,formula,-,CES3133100001,0,NA,NA
3990,"Part of 31, 32, 33",31332000,33,formula,-,CES3133200001,0,NA,NA
3990,"Part of 31, 32, 33",31333000,33,formula,-,CES3133300001,0,NA,NA
3990,"Part of 31, 32, 33",31334000,33,formula,-,CES3133400001,0,NA,NA
3990,"Part of 31, 32, 33",31335000,33,formula,-,CES3133500001,0,NA,NA
3990,"Part of 31, 32, 33",31336000,33,formula,-,CES3133600001,0,NA,NA
3990,"Part of 31, 32, 33",31337000,33,formula,-,CES3133700001,0,NA,NA
3990,"Part of 31, 32, 33",31339000,33,formula,-,CES3133900001,0,NA,NA
3990,"Part of 31, 32, 33",32311000,33,formula,-,CES3231100001,0,NA,NA
3990,"Part of 31, 32, 33",32313000,33,formula,-,CES3231300001,0,NA,NA
3990,"Part of 31, 32, 33",32314000,33,formula,-,CES3231400001,0,NA,NA
3990,"Part of 31, 32, 33",32315000,33,formula,-,CES3231500001,0,NA,NA
3990,"Part of 31, 32, 33",32322000,33,formula,-,CES3232200001,0,NA,NA
3990,"Part of 31, 32, 33",32323000,33,formula,-,CES3232300001,0,NA,NA
3990,"Part of 31, 32, 33",32324000,33,formula,-,CES3232400001,0,NA,NA
3990,"Part of 31, 32, 33",32325000,33,formula,-,CES3232500001,0,NA,NA
3990,"Part of 31, 32, 33",32326000,33,formula,-,CES3232600001,0,NA,NA
3990,"Part of 31, 32, 33",32329100,33,formula,-,CES3232910001,1,32329000,CES3232900001
3990,"Part of 31, 32, 33",32329900,33,formula,-,CES3232990001,1,32329000,CES3232900001
4290,4239 exc. 42393,41423900,42,formula,+,CES4142390001,1,41423000,CES4142300001
4290,4239 exc. 42393,41423930,42,formula,-,CES4142393001,1,41423000,CES4142300001
4380,"4242, 4246",41424200,42,formula,+,CES4142420001,1,41424000,CES4142400001
4380,"4242, 4246",41424600,42,formula,+,CES4142460001,1,41424000,CES4142400001
4580,4249 exc. 42491,41424900,42,formula,+,CES4142490001,1,41424000,CES4142400001
4580,4249 exc. 42491,41424910,42,formula,-,CES4142491001,1,41424000,CES4142400001
4585,4251,41425110,42,formula,+,CES4142511001,1,41425000,CES4142500001
4585,4251,41425120,42,formula,+,CES4142512001,1,41425000,CES4142500001
4590,Part of 42,41420000,42,formula,+,CES4142000001,0,NA,NA
4590,Part of 42,41423000,42,formula,-,CES4142300001,0,NA,NA
4590,Part of 42,41424000,42,formula,-,CES4142400001,0,NA,NA
4590,Part of 42,41425110,42,formula,-,CES4142511001,1,41425000,CES4142500001
4590,Part of 42,41425120,42,formula,-,CES4142512001,1,41425000,CES4142500001
4870,4441 exc. 44413,42444100,44,formula,+,CES4244410001,1,42444000,CES4244400001
4870,4441 exc. 44413,42444130,44,formula,-,CES4244413001,1,42444000,CES4244400001
5080,446 exc. 44611,42446000,44,formula,+,CES4244600001,0,NA,NA
5080,446 exc. 44611,42446110,44,formula,-,CES4244611001,1,42446000,CES4244600001
5275,"45111, 45112",42451110,45,formula,+,CES4245111001,1,42451000,CES4245100001
5275,"45111, 45112",42451120,45,formula,+,CES4245112001,1,42451000,CES4245100001
