cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,max,tmax,total_workers_employed,worker_job_loss_rate
11620,"Ardmore, OK",993,0,206.6,0.2,78.1,88.5,26.3,-94,39,5.4,-10.1,10.5,54.3,0,36.1,230.1,52.3,136.3,110.4,3,19.7,250,100,20543,0.04832
11660,"Arkadelphia, AR",299,4,2.3,-3.7,6,121,-2.4,-38.3,-2.9,4.8,1.5,3.3,3.1,-3.5,14.8,-49.5,95.7,8.8,118.1,1.5,14.1,250,100,8400,0.03557
11680,"Arkansas City-Winfield, KS",700,0,20.6,-1.5,38.6,243.5,-3.4,-25.8,-6.2,3.4,8.9,6.4,10.8,1.5,0.1,87.2,103.5,37,137.8,10.3,27,250,100,14280,0.049
11700,"Asheville, NC",14009,-0.1,-4.4,6.4,383.9,1908.6,178.3,322.7,247.8,216.5,18.5,162.4,265.5,65.6,254.2,1164.5,1499.6,1455.3,5682.3,353.5,-172,10000,150,186434,0.07514
11740,"Ashland, OH",1645,0.8,11.3,4.2,88.6,296,62.8,50.2,48.2,6.1,6.2,20.5,46.8,10,98.4,232.3,138,59,395.1,33.8,36.8,500,100,22045,0.07462
11780,"Ashtabula, OH",2936,1.6,14.9,8,134.8,512.9,88.1,34.4,64,39.5,9.9,33.6,76.8,18.3,178.1,345.7,331.9,113,811,42.4,77.2,1000,100,38309,0.07664
11820,"Astoria, OR",1987,5.3,1.6,0.4,69.3,97.6,17.9,109.7,51,27.1,6.9,15.8,26.3,8.4,28.4,175.6,74.3,150.1,1046.7,44.1,30.9,2000,250,18921,0.10504
11860,"Atchison, KS",333,0,3.6,-0.7,29.3,97.8,0.3,-4.2,-5.6,1.3,6.2,5.1,6.8,1.3,-2.7,60.1,39.4,6,78.2,12.5,-1.6,100,100,7192,0.04629
11900,"Athens, OH",1864,0.4,20.4,2.8,89.9,89.3,49.7,92.3,37.3,8.3,7,27.8,28.9,8.2,78,539.2,164.1,59.5,483.5,33.8,43.4,750,100,21383,0.08716
11940,"Athens, TN",1035,0.2,0.4,0,3.6,535.9,25.1,7.9,10.1,9.2,-5.7,-1.3,12.8,0.3,72,-38.2,101.4,57.9,209,16.4,18.1,750,100,20069,0.05158
11980,"Athens, TX",1462,0.6,113.9,9.2,141.4,117.4,52,9.6,4.5,27.1,-11.7,14.3,-0.2,13.5,48.6,174.5,176.5,110.3,367.2,73.7,19.6,500,100,27645,0.05289
12020,"Athens-Clarke County, GA",2745,-0.6,-3.6,-3.6,78.3,283,64.6,-63.4,169.6,161.6,-20.2,113,143.6,63.6,102.4,-2.9,212.2,214.4,1109.9,129.7,-6.2,2000,100,80287,0.03419
12060,"Atlanta-Sandy Springs-Roswell, GA",112602,-6.5,-13.8,-144.8,2626.9,6490,3012.2,-3447.5,11172,11845.4,-1425,4385.7,10518.3,3943.7,6366.5,1029.5,8190.7,8872.2,33907.2,5357.2,-77.7,275000,150,2542699,0.04428
12100,"Atlantic City-Hammonton, NJ",20056,0,-3.8,29.5,649.3,206.8,233.5,952.5,497.2,11.8,69.4,201.1,372.2,74.3,555.9,1497,1834.3,1110.7,10742.5,648.7,373,275000,650,122104,0.16425
12120,"Atmore, AL",651,-11.4,6,-5.1,1.8,50.2,3.4,-38.3,-14.6,4.8,2.2,-0.6,4.6,11,45.3,44.8,123.4,219.2,165.5,7,31.5,250,100,14279,0.04558
12140,"Auburn, IN",1108,0.2,-0.2,0.4,33.4,663,29.3,29.1,3.9,15.9,6.5,7.1,-0.6,1.3,-22.4,88.1,110,0.6,75.6,40.3,26.6,750,150,21072,0.05258
12180,"Auburn, NY",4371,2.4,9.2,16.8,191.6,464.4,165.6,377,265,7.1,31.3,28.2,119.9,34.1,171.1,51.9,445.5,187,1309.6,255.2,237.9,2000,100,34908,0.12521
12220,"Auburn-Opelika, AL",2878,0,3.4,-9.6,5.9,310.5,19.2,36.7,-25.4,29.7,4.9,-6.6,8.9,71,386.3,378.8,501.9,258.7,834.2,59,10.1,1000,100,58890,0.04887
12260,"Augusta-Richmond County, GA-SC",7804,-5,-11.9,-40,284.4,470.9,160.8,-115.3,89.4,328.9,-63.5,168.5,550.7,42.4,553.1,92.9,978.3,820,3512.4,178.6,-191.2,5000,100,224571,0.03475
12300,"Augusta-Waterville, ME",4476,-12.8,2.3,-2.7,50.5,755.8,66.9,-3.3,47.6,174.2,54.5,24.3,73.3,124.9,46.2,762.2,555.7,213.3,1153,282.2,107.4,2000,100,54422,0.08224
12380,"Austin, MN",1379,0.8,2.7,-2.1,41.2,215.4,17,-55.1,51.4,21.3,0.4,13.7,14.3,33.6,13.4,194.9,232.6,64.4,390.8,68.4,60,500,100,19734,0.06989
12420,"Austin-Round Rock, TX",60857,5.7,1151.7,104.1,4126.1,1841,2292.3,4487.1,1164.8,1958.7,-652.2,758.5,1007.5,751,3446.8,6691.2,5411.2,5102.4,16654,3804,751.4,275000,150,967584,0.0629
12460,"Bainbridge, GA",249,-1.2,6.6,-0.8,11.3,24.6,3.9,-35.5,21.6,12.6,-3.2,12.9,12.7,4.1,1.1,-0.5,50.6,13.9,100.3,14.1,-0.2,250,100,11253,0.02213
12540,"Bakersfield, CA",23904,-1.1,691.1,89,1154.2,1275.9,811.9,2378.6,482.9,396.1,-23.8,107.5,443.2,207.9,870.5,2010.9,1918.5,1490.2,6902,1714.8,983.9,10000,200,299392,0.07984
12580,"Baltimore-Columbia-Towson, MD",102282,0.9,25.2,164.4,1158.3,3389.5,3335,7937.3,6157.8,3289.4,-816.6,2521.6,5125.4,1199.7,10248.5,4485.2,16432.8,9316.8,23935.3,4976.8,-600.9,275000,100,1277911,0.08004
12620,"Bangor, ME",5313,-28,1.5,-5.1,60.1,587.2,71.8,53.1,77.3,170.1,74.8,36.7,79.6,0,2.5,1040.5,866.7,338.7,1590.6,261.7,32.9,2000,100,66304,0.08013
12660,"Baraboo, WI",3260,0.7,3.9,0.3,55.8,297.2,66.3,231.6,20.4,64.4,21.3,26.2,44.5,23.2,182.3,146.4,205.2,219.7,1314.4,102.2,234,2000,650,34853,0.09354
12680,"Bardstown, KY",1268,0.5,5.2,2.2,12.6,404.6,41,44.7,23.2,11.6,48,3,41.1,82,131.8,15.8,122.2,13.6,185.8,20.3,59.1,500,100,22192,0.05714
12700,"Barnstable Town, MA",13922,0,13.1,45.1,825.8,169.9,316.3,1259.8,773.9,37.5,42.6,69.1,144.5,30.3,184.8,898.2,1746.3,1636.6,4513.2,1035.7,179.1,5000,200,95645,0.14556
12740,"Barre, VT",2884,1.6,2.1,4.1,404.6,166.2,58.6,167.8,5.7,22.6,14.5,26.3,135,18.2,-10.6,-41,325,30.1,1427.2,121.6,4.2,2000,200,28970,0.09954
12780,"Bartlesville, OK",1422,0,591.5,1.4,75.8,106.8,16.4,-49.1,18.1,-8.6,-13.5,12,66,19.7,49.1,260.6,79.6,144.7,26,11.5,14.2,750,200,21833,0.06514
12820,"Bastrop, LA",587,4.3,33.4,1.6,96.2,34.8,12,-5.7,10.7,10.6,6.3,2.9,17.5,3.8,14.6,-35.1,185.2,17.3,169,7.3,0.4,250,100,10722,0.05473
12860,"Batavia, NY",3445,0.5,17.2,8.1,172.6,395.2,172.5,261.9,171.9,4,32,27,75.5,36.6,177.7,44.3,335.3,262.1,874.7,204,171.8,1000,100,27630,0.12468
12900,"Batesville, AR",545,2.4,6.7,-5.1,15.2,273,2,-70.5,-16.3,-0.2,3.9,3.8,1.9,-4.5,20.3,-59,213.9,2.9,129.9,8.7,16.1,500,100,14543,0.03749
12940,"Baton Rouge, LA",22867,10.7,374.5,12.3,4742.1,881.5,516.1,975.5,535.8,720.4,184.8,151.9,1647.6,141.9,1040.5,-1417.6,4113.5,953.5,6771.4,516.1,-6,10000,150,354434,0.06452
12980,"Battle Creek, MI",6773,2.7,7.4,6.2,109.2,1335.1,126.3,299.2,93.5,41.9,13.4,46.3,131.4,13.4,471.4,855,609.8,267.9,1978.6,248.6,115.2,2000,150,55291,0.12249
13020,"Bay City, MI",5173,0.7,7.3,11.2,110.4,456.9,110.2,324.8,98.1,29.7,13.8,52.8,96.7,34.3,416.3,703.1,562.4,250.7,1561.9,225.7,105.7,2000,100,43768,0.11818
13060,"Bay City, TX",1019,0.7,125.1,4.3,140.7,66.2,24.5,14.3,11.4,7.2,-5.1,12.8,2.3,12,23,84.7,141.5,48.4,249.1,48.2,7.6,250,100,17008,0.05991
13100,"Beatrice, NE",351,-0,-0,-2.4,9.8,6.8,-6.2,-11.8,3.4,9,5.5,-0.4,0.5,1.6,30.6,40.6,41.1,77.4,104.6,12.8,27.9,250,100,11728,0.02991
